route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__480___,2_8__480___,2_8__480___-8__480____3_07:45:00_2_-_ _1_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_08:15:00_1_-_ _1_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_09:00:00_2_-_ _4_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_09:45:00_1_-_ _4_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_10:30:00_2_-_ _7_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_11:15:00_1_-_ _7_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_12:00:00_2_-_ _10_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_12:45:00_1_-_ _10_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_13:30:00_2_-_ _13_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_14:15:00_1_-_ _13_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_15:00:00_2_-_ _16_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_15:45:00_1_-_ _16_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_16:30:00_2_-_ _19_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_17:15:00_1_-_ _19_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_18:00:00_2_-_ _22_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_18:45:00_1_-_ _22_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_19:30:00_2_-_ _25_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_20:15:00_1_-_ _25_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_21:00:00_2_-_ _28_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____3_21:45:00_1_-_ _28_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____1_07:05:00_2_-__6_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____1_07:51:00_1_-__6_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____1_08:36:00_2_-__13_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____1_09:22:00_1_-__13_8__480___,SANTA ROSA-EST.LEGANÉS CENTRAL,480 LEGANÉS (Estación FF.CC.),0,,8__480____1_-_IT_1,0
8__480___,2_8__480___,2_8__480___-8__480____1_10:15:00_2_-__20_8__480___,INTERCAMBIADOR DE PLAZA ELÍPTICA,480 MADRID (Plaza Elíptica),1,,8__480____2_-_IT_1,0
