service_id,date,exception_type
621/622_8__330___,20241108,2
621/622_8__330___,20241115,2
621/622_8__330___,20241122,2
623/624_8__330___,20241108,2
623/624_8__330___,20241115,2
623/624_8__330___,20241122,2
336T05_8__330___,20241101,2
336T06_8__330___,20241101,2
337T26_8__330___,20241031,2
337T26_8__330___,20241101,2
601/602_8__330___,20241101,2
603/604_8__330___,20241101,2
605_8__330___,20241101,2
336T01_8__330___,20241101,2
336T03_8__330___,20241101,2
336T04_8__330___,20241101,2
125/126_8__331___,20241108,2
125/126_8__331___,20241115,2
125/126_8__331___,20241122,2
322_8__331___,20241108,2
322_8__331___,20241115,2
322_8__331___,20241122,2
226/227_8__331___,20241108,2
226/227_8__331___,20241115,2
226/227_8__331___,20241122,2
121/122_8__331___,20241108,2
121/122_8__331___,20241115,2
121/122_8__331___,20241122,2
123/4/2_8__331___,20241108,2
123/4/2_8__331___,20241115,2
123/4/2_8__331___,20241122,2
114/5/6_8__331___,20241101,2
115_8__331___,20241101,2
117_8__331___,20241101,2
336T03_8__331___,20241101,2
337T18_8__331___,20241101,2
TM2_8__331___,20241101,2
109/110_8__331___,20241101,2
111/112_8__331___,20241101,2
113_8__331___,20241101,2
101/102_8__331___,20241101,2
103/104_8__331___,20241101,2
105/106_8__331___,20241101,2
107/108_8__331___,20241101,2
228_8__332___,20241108,2
228_8__332___,20241115,2
228_8__332___,20241122,2
623/624_8__332___,20241108,2
623/624_8__332___,20241115,2
623/624_8__332___,20241122,2
221/22/3_8__332___,20241108,2
221/22/3_8__332___,20241115,2
221/22/3_8__332___,20241122,2
222bis_8__332___,20241108,2
222bis_8__332___,20241115,2
222bis_8__332___,20241122,2
224/225_8__332___,20241108,2
224/225_8__332___,20241115,2
224/225_8__332___,20241122,2
226/227_8__332___,20241108,2
226/227_8__332___,20241115,2
226/227_8__332___,20241122,2
114/5/6_8__332___,20241101,2
201_8__332___,20241101,2
202/203_8__332___,20241101,2
210/211_8__332___,20241101,2
212_8__332___,20241101,2
213/214_8__332___,20241101,2
215_8__332___,20241101,2
503/4/5_8__332___,20241101,2
C101/102_8__332___,20241101,2
204/205_8__332___,20241101,2
206/207_8__332___,20241101,2
208/209_8__332___,20241101,2
327/328_8__333___,20241108,2
327/328_8__333___,20241115,2
327/328_8__333___,20241122,2
127_8__333___,20241108,2
127_8__333___,20241115,2
127_8__333___,20241122,2
321/2/3_8__333___,20241108,2
321/2/3_8__333___,20241115,2
321/2/3_8__333___,20241122,2
324/5_8__333___,20241108,2
324/5_8__333___,20241115,2
324/5_8__333___,20241122,2
326_8__333___,20241108,2
326_8__333___,20241115,2
326_8__333___,20241122,2
312_8__333___,20241101,2
313_8__333___,20241101,2
314/315_8__333___,20241101,2
316/317_8__333___,20241101,2
318_8__333___,20241101,2
412T11_8__333___,20241030,2
412T11_8__333___,20241031,2
412T11_8__333___,20241101,2
117_8__333___,20241101,2
301/302_8__333___,20241101,2
303/304_8__333___,20241101,2
305/306_8__333___,20241101,2
307_8__333___,20241101,2
308_8__333___,20241101,2
309/310_8__333___,20241101,2
311/312_8__333___,20241101,2
526/527_8__334___,20241108,2
526/527_8__334___,20241115,2
526/527_8__334___,20241122,2
623/624_8__334___,20241108,2
623/624_8__334___,20241115,2
623/624_8__334___,20241122,2
326_8__334___,20241108,2
326_8__334___,20241115,2
326_8__334___,20241122,2
521/522_8__334___,20241108,2
521/522_8__334___,20241115,2
521/522_8__334___,20241122,2
523/524_8__334___,20241108,2
523/524_8__334___,20241115,2
523/524_8__334___,20241122,2
525_8__334___,20241108,2
525_8__334___,20241115,2
525_8__334___,20241122,2
515/516_8__334___,20241101,2
517/518_8__334___,20241101,2
519_8__334___,20241101,2
115_8__334___,20241101,2
210/211_8__334___,20241101,2
215_8__334___,20241101,2
501/502_8__334___,20241101,2
503/4/5_8__334___,20241101,2
506/507_8__334___,20241101,2
508_8__334___,20241101,2
509/510_8__334___,20241101,2
510_8__334___,20241101,2
511_8__334___,20241101,2
512/513_8__334___,20241101,2
514_8__334___,20241101,2
504_8__336___,20241101,2
512/513_8__336___,20241101,2
336T03_8__336___,20241031,2
336T03_8__336___,20241101,2
336T04_8__336___,20241101,2
336T05_8__336___,20241101,2
336T06_8__336___,20241101,2
336T07_8__336___,20241101,2
337T08_8__336___,20241101,2
337T21_8__336___,20241101,2
337T01_8__337___,20241108,2
337T01_8__337___,20241115,2
337T01_8__337___,20241122,2
337T02_8__337___,20241108,2
337T02_8__337___,20241115,2
337T02_8__337___,20241122,2
337T07_8__337___,20241108,2
337T07_8__337___,20241115,2
337T07_8__337___,20241122,2
337T05_8__337___,20241108,2
337T05_8__337___,20241115,2
337T05_8__337___,20241122,2
337T06_8__337___,20241108,2
337T06_8__337___,20241115,2
337T06_8__337___,20241122,2
337T03_8__337___,20241108,2
337T03_8__337___,20241115,2
337T03_8__337___,20241122,2
337T04_8__337___,20241108,2
337T04_8__337___,20241115,2
337T04_8__337___,20241122,2
115_8__337___,20241101,2
336T01_8__337___,20241031,2
336T01_8__337___,20241101,2
336T03_8__337___,20241101,2
336T05_8__337___,20241101,2
336T07_8__337___,20241101,2
337T09_8__337___,20241101,2
337T10_8__337___,20241101,2
337T10_8__337___,20241109,2
337T11_8__337___,20241101,2
337T24_8__337___,20241101,2
337T25_8__337___,20241101,2
337T26_8__337___,20241101,2
337T27_8__337___,20241101,2
337T28_8__337___,20241101,2
337T13_8__337___,20241101,2
337T14_8__337___,20241101,2
337T14_8__337___,20241109,2
337T15_8__337___,20241101,2
337T18_8__337___,20241101,2
337T19_8__337___,20241101,2
337T29_8__337___,20241101,2
721/2/3_8__339___,20241108,2
721/2/3_8__339___,20241115,2
721/2/3_8__339___,20241122,2
704_8__339___,20241101,2
701/2/3_8__339___,20241101,2
412T04_8__410___,20241030,2
412T04_8__410___,20241031,2
412T04_8__410___,20241101,2
412T10_8__410___,20241030,2
412T10_8__410___,20241031,2
412T10_8__410___,20241101,2
412T16_8__410___,20241030,2
412T16_8__410___,20241031,2
412T16_8__410___,20241101,2
407/8/10_8__411___,20241101,2
409/10/1_8__411___,20241101,2
405/406_8__411___,20241101,2
401/402_8__411___,20241101,2
403/404_8__411___,20241101,2
421/2/4_8__411___,20241108,2
421/2/4_8__411___,20241115,2
421/2/4_8__411___,20241122,2
426/427_8__411___,20241108,2
426/427_8__411___,20241115,2
426/427_8__411___,20241122,2
428/429_8__411___,20241108,2
428/429_8__411___,20241115,2
428/429_8__411___,20241122,2
423/4/5_8__411___,20241108,2
423/4/5_8__411___,20241115,2
423/4/5_8__411___,20241122,2
412T13_8__412___,20241101,2
412T01_8__412___,20241108,2
412T01_8__412___,20241115,2
412T01_8__412___,20241122,2
412T05_8__412___,20241106,2
412T05_8__412___,20241107,2
412T05_8__412___,20241108,2
412T05_8__412___,20241113,2
412T05_8__412___,20241114,2
412T05_8__412___,20241115,2
412T05_8__412___,20241120,2
412T05_8__412___,20241121,2
412T05_8__412___,20241122,2
412T17_8__412___,20241101,2
412T18_8__412___,20241101,2
412T19_8__412___,20241101,2
412T20_8__412___,20241101,2
412T14_8__412___,20241101,2
412T14_8__412___,20241109,2
412T15_8__412___,20241101,2
412T15_8__412___,20241109,2
412T16_8__412___,20241101,2
412T08_8__412___,20241101,2
412T10_8__412___,20241101,2
412T10_8__412___,20241109,2
412T11_8__412___,20241101,2
412T11_8__412___,20241109,2
412T10_8__413___,20241106,2
412T10_8__413___,20241107,2
412T10_8__413___,20241108,2
