service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_8__670___,1,1,1,1,1,1,0,20241028,20251126
1_8__671___,1,1,1,1,1,1,1,20241027,20251126
1_8__672___,1,1,1,1,1,1,1,20241027,20251126
1_8__672_A__,1,1,1,1,1,1,0,20241028,20251126
1_8__673___,1,1,1,1,1,1,1,20241027,20251126
1_8__876___,1,1,1,1,1,1,1,20241027,20251126
1_8_N_603___,1,1,1,1,1,1,1,20241027,20251126
2_9__1__047_,1,1,1,1,1,1,1,20241027,20251126
2_9__2__047_,1,1,1,1,1,0,0,20241028,20251126
2_9__3__047_,1,1,1,1,1,0,0,20241028,20251126
2_9__4__047_,1,1,1,1,1,1,0,20241028,20251126
2_9__6__047_,1,1,1,1,1,1,1,20241027,20251126
