stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_5_11,11,ATOCHA,Avda de la Ciudad de Barcelona 2 B,40.40659,-3.6893,A,http://www.crtm.es,0,est_90_54,,2
par_5_133,133,FUENTE DE LA MORA,Calle de Dulce Chacón 15,40.48475,-3.66282,A,http://www.crtm.es,0,,Europe/Madrid,2
par_5_142,142,AEROPUERTO T4,Ctra de Alcobendas a Barajas SN,40.49177,-3.59333,A,http://www.crtm.es,0,est_90_33,,2
par_5_144,144,VALDEBEBAS,Avda de las Fuerzas Armadas 322,40.4823,-3.61642,A,http://www.crtm.es,0,,Europe/Madrid,2
par_5_18,18,CHAMARTÍN,Calle de Agustín de Foxá 40,40.4721,-3.68247,A,http://www.crtm.es,0,est_90_25,,2
par_5_25,25,DELICIAS,Calle de Ramírez de Prado 3 B,40.40037,-3.69277,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_46,46,MÉNDEZ ÁLVARO,Calle del Ombu 16,40.39538,-3.67808,A,http://www.crtm.es,0,est_90_13,,1
par_5_51,51,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69234,A,http://www.crtm.es,0,est_90_71,,2
par_5_57,57,PIRÁMIDES,Paseo del Doctor Vallejo Nágera 37,40.4026,-3.71134,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_61,61,PRÍNCIPE PÍO,Paseo de la Florida 2,40.42107,-3.72026,A,http://www.crtm.es,0,est_90_18,,0
par_5_65,65,RECOLETOS,Paseo de Recoletos 20,40.42341,-3.69086,A,http://www.crtm.es,0,,Europe/Madrid,0
est_90_13,13,Méndez Álvaro Estación Sur,Calle del Ombu 16,40.39538,-3.67819,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_18,18,Intercambiador de Príncipe Pío,Paseo de la Florida 2,40.42107,-3.72037,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_25,25,Chamartín,Calle de Agustín de Foxá 40,40.4721,-3.68269,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_33,33,Aeropuerto T4,Ctra de Alcobendas a Barajas SN,40.49176,-3.59356,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_54,54,Atocha-Renfe,Avda de la Ciudad de Barcelona 2 B,40.40659,-3.68944,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_71,71,Nuevos Ministerios,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69246,A,http://www.crtm.es,1,,Europe/Madrid,0
par_5_10,10,ASAMBLEA DE MADRID-ENTREVÍAS,Calle del Vizconde de Arlessón 45,40.38167,-3.668,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_106,106,GARENA LA,Calle   Fausto Elhuyar 6,40.48043,-3.39317,B3,http://www.crtm.es,0,,Europe/Madrid,1
par_5_12,12,AZUQUECA,Paseo de la Estacion SN,40.56103,-3.26546,E1,http://www.crtm.es,0,,Europe/Madrid,1
par_5_143,143,SOTO DEL HENARES,Paseo de la Democracia 17,40.46353,-3.44134,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_2,2,ALCALÁ DE HENARES,Calle   Pedro Lainez 2,40.48903,-3.36634,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_5_22,22,COSLADA,Calle de Luis Braille 8,40.42374,-3.56114,B1,http://www.crtm.es,0,,Europe/Madrid,1
par_5_3,3,ALCALÁ DE HENARES UNIVERSIDAD,Ctra del  Campus SN,40.50534,-3.33541,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_5_38,38,GUADALAJARA,Plaza de la Estación SN,40.64408,-3.18239,E1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_45,45,MECO,Trva de la Calera 3,40.53462,-3.29866,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_59,59,POZO EL,Avda de Entrevías 140,40.3759,-3.65623,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_71,71,SAN FERNANDO,Calle   Estación de ferrocarril 6,40.44266,-3.53385,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_75,75,SANTA EUGENIA,Avda de Santa Eugenia 2,40.38699,-3.60906,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_81,81,TORREJÓN DE ARDOZ,Paseo   Estación 3,40.4546,-3.47982,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_87,87,VALLECAS,Avda de la Democracia 1,40.38221,-3.62455,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_90,90,VICÁLVARO,Calle de San Cipriano 85,40.40132,-3.59593,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_103,103,CASAR EL,Avda del Casar 2,40.31847,-3.70984,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_122,122,SOL,Plaza de la Puerta del Sol 6,40.41685,-3.70309,A,http://www.crtm.es,0,est_90_58,,0
par_5_19,19,CIEMPOZUELOS,Avda de San Juan de Dios 7,40.15906,-3.61003,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_5_35,35,GETAFE INDUSTRIAL,Paseo de John Lennon 15400,40.30548,-3.70769,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_56,56,PINTO,Calle del Ferrocarril 4,40.24279,-3.70374,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_69,69,SAN CRISTÓBAL DE LOS ANGELES,Calle de Paterna 17,40.34236,-3.68385,A,http://www.crtm.es,0,,Europe/Madrid,2
par_5_70,70,SAN CRISTÓBAL INDUSTRIAL,Acces a la Colonia Marconi 11,40.33191,-3.69872,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_8,8,ARANJUEZ,Calle de la Estación 5,40.03483,-3.61831,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_86,86,VALDEMORO,Paseo de la Estación 86,40.19604,-3.66482,B3,http://www.crtm.es,0,,Europe/Madrid,2
