station;longitude;latitude
Alto Extremadura;-374.195;40.407.871
Arturo Soria;-3.639.284;40.440.013
Avda Moratalaz;-3.645.215;40.408.028
Barajas Pueblo;-3.580.101;40.476.929
Bº del Pilar;-3.711.543;40.478.197
Campo de las Naciones;-3.616.317;40.460.761
Carlos V;-3.691.509;40.409.121
Casa de Campo;-3.747.319;4.041.939
Castellana;-3.690.302;40.439.854
Cuatro Caminos;-3.707.157;40.445.581
Cuatro Vientos;-377.783;4.037.525
El Pardo;-37.745.509.999.999.900;40.517.989
Embajada;-3.580.128;40.459.331
Ensanche de Vallecas;-36.121;40.372.993
Escuelas Aguirre;-3.682.377;40.421.575
Farolillo;-3.731.786;40.394.788
Gregorio Marañón;-36.907.579.999.999.900;40.437.548
Manuel Becerra;-3.668.584;40.428.741
Mendez Álvaro;-3.686.808;40.398.022
Plaza Elíptica;-3.718.807;40.384.978
Plaza de España;-3.712.253;40.424.005
Plaza del Carmen;-3.703.175;40.419.251
Pza de Castilla;-3.688.719;40.465.628
Pº Recoletos;-3.691.877;40.422.599
Ramón y Cajal;-3.677.359;40.451.522
Sanchinarro;-3.660.454;40.494.254
Santa Eugenia;-3.602.561;40.379.072
Tres Olivos;-36.896.430.000.000.000;40.500.598
Urb Embajada 2;-3.580.599;40.462.298
Vallecas;-3.651.506;40.388.116
Villaverde;-3.713.312;403.471
