DISTRITOS,RELACIONADAS CON LAS PERSONAS,RELACIONADAS CON EL PATRIMONIO,POR TENENCIA DE ARMAS,POR TENENCIA DE DROGAS,POR CONSUMO DE DROGAS
CENTRO,33,711,2,22,1
ARGANZUELA,10,8,0,9,0
RETIRO,3,1,0,1,2
SALAMANCA,4,36,2,6,0
CHAMARTÍN,10,12,0,23,5
TETUÁN,12,9,2,5,0
CHAMBERÍ,2,4,4,17,0
FUENCARRAL - EL PARDO,6,11,1,13,0
MONCLOA - ARAVACA,5,8,0,5,1
LATINA,6,10,3,13,1
CARABANCHEL,19,18,3,14,3
USERA,10,6,3,9,0
PUENTE DE VALLECAS,24,31,6,55,7
MORATALAZ,4,1,0,3,1
CIUDAD LINEAL,11,12,1,9,0
HORTALEZA,3,5,0,12,0
VILLAVERDE,12,14,3,21,3
VILLA DE VALLECAS,9,9,2,11,0
VICÁLVARO,1,1,4,18,1
SAN BLAS - CANILLEJAS,6,12,2,22,2
BARAJAS,3,6,0,6,1
SIN DISTRITO ASIGNADO,0,0,0,0,0
