id;fechaActualizacion;idioma;nombre;email;telefono;web;direccion;codigo_postal;localidad;pais;latitud;longitud;categorias;subcategorias;imagen;horario
105922;2024-12-11;es;Roostiq Bar;;(+34) 91 949 67 10;https://www.esmadrid.com/restaurantes/roostiq-bar;del Barquillo, 40;;;Spain;40.4239333;-3.6954625;Bares, Tapas, Española;Gastrobares, Mediterránea;https://estaticos.esmadrid.com/cdn/farfuture/aQbk738KreWG8AqIMPeZbhnxENvflFgk5hcXPy5wlr8/mtime:1733927585/sites/default/files/recursosturisticos/restaurantes/roostiq_bar_3.png;Lun - Dom: 13:15 - 24:00 h (cocina) / hasta las 01:30h (barra)
105886;2024-12-26;es;Experiencity Express Train;info@experiencity.es;(+34) 610 42 48 80;https://www.esmadrid.com/restaurantes/experiencity-express-train;de Vicente Espinel, 12;28017;;Spain;40.4350198;-3.6411227;Internacional;;https://estaticos.esmadrid.com/cdn/farfuture/eEH_scoOQL9yz7WBemeyVp6GlGnhgb4pocudEgXVOks/mtime:1733227059/sites/default/files/recursosturisticos/restaurantes/experiencity_express_2.jpg;Según la reserva.
105884;2024-12-26;es;Pilar Akaneya;;(+34) 91 330 76 99;https://www.esmadrid.com/restaurantes/pilar-akaneya;de Espronceda, 33;28003;;Spain;40.4405867;-3.6949022;Internacional;Japonesa;https://estaticos.esmadrid.com/cdn/farfuture/gNDvNB-1tjZ3L9LLouJKQ7KQs_dmd_uAu4072xy7iiI/mtime:1733153613/sites/default/files/recursosturisticos/restaurantes/pilar_anakeya_1.png;Horario de reservas:Lun - Vier: 19:30 - 23:30 hSáb - Dom: 13:30 - 14:30 h / 19:30 - 23:30 h
105855;2025-01-07;es;Tramo;tramo@espaciotramo.com;(+34) 620 09 98 81;https://www.esmadrid.com/restaurantes/tramo;de Eugenio Salazar, 56;28002;;Spain;40.4482027;-3.6754054;Española;De temporada;https://estaticos.esmadrid.com/cdn/farfuture/2Y5BSL0OJBuOQe4ZS7ReiaW3t2_SnAM7PLie7ccINVQ/mtime:1732703139/sites/default/files/recursosturisticos/restaurantes/tramo_3.jpg;Mar - Sáb: 13:30 - 15:30 h / 20:00 - 22:30 h
105854;2024-12-26;es;Varra;contacto@varrarestaurante.com;(+34) 634 234 745;https://www.esmadrid.com/restaurantes/varra;de Hermosilla, 7;28001;;Spain;40.4266397;-3.688344;Tabernas, Española;De temporada, Madrileña, Tradicional renovada;https://estaticos.esmadrid.com/cdn/farfuture/KQpqLGRqDFqqc8rBGun6TghPG5Ies8ubBpHV6jtxzkQ/mtime:1732699302/sites/default/files/recursosturisticos/restaurantes/varra_4.jpg;Varra Fina (taberna):Lun - Jue: 13:30 - 15:00 h/ 20:30 - 23:30 hViér - Sáb: 13:30 - 15:00 h / 20:30 - 24:00 hVarra RestaruanteLunes: cerradoMar - Jue: 13:30 - 15:00 h / 20:30 - 23:30 hVier - Sáb: 13:30 - 15:00 h / 20:30 - 24:00 h
105853;2025-01-07;es;Sen Omakase;info@senomakase.com;(+34) 91 544 07 98;https://www.esmadrid.com/restaurantes/sen-omakase;de Santa María Magdalena, 14;28016;;Spain;40.462222;-3.6700476;De autor, Internacional;Japonesa;https://estaticos.esmadrid.com/cdn/farfuture/bWsU8yCZf2czopyg4GrnTwPNK0g748tPKVPJc1sD3OM/mtime:1732695192/sites/default/files/recursosturisticos/restaurantes/sen_omakase.jpg;Mar - Sáb: dos servicios, a las 13:45 h y a las 20:45 h, con una duración de dos horas y media.
105852;2025-01-07;es;La Casa de Manolo Franco;;(+34) 626 615 739;https://www.esmadrid.com/restaurantes/la-casa-de-manolo-franco-valdemorillo;La Fuente, 6;28210;Valdemorillo;Spain;40.500947212038;-4.067822098732;De autor;;https://estaticos.esmadrid.com/cdn/farfuture/qFuIou8_J9oEUyb0zlHsVPLmrgckPncb7t6F0erOQEw/mtime:1732695346/sites/default/files/recursosturisticos/restaurantes/manolo_franco.jpg;Miércoles y domingo: 13:30 - 16:30 h​​Jue - Sáb: 13:30 - 16:30 h / 20:30 - 23:00 h
105777;2024-12-26;es;Pury;;(+34) 919 95 23 56;https://www.esmadrid.com/restaurantes/pury;de Ricardo León, 2;28015;;Spain;40.4232143;-3.7091196;Internacional;Coreana;https://estaticos.esmadrid.com/cdn/farfuture/K9bz59q7dQPUf7cpqqD6PF2tmDWrUWZxpxmjgoiazaQ/mtime:1731684784/sites/default/files/recursosturisticos/restaurantes/pury.jpg;Lunes: 19:00 - 23:00 hMar - Sáb: 13:00 - 16:00 h / 19:00 - 23:00 h(La cocina cierra 30 minutos antes)
105767;2024-11-28;es;LUR;lurrestaurante@gmail.com;(+34) 614 350 228;https://www.esmadrid.com/restaurantes/lur;de Bolívar, 11;28045;;Spain;40.3923488;-3.6918488;De autor, Española;De temporada;https://estaticos.esmadrid.com/cdn/farfuture/mI9fB74TsSLORU1CnhN9Motf2onqJgxmjdlyrPmzp5Q/mtime:1731944576/sites/default/files/recursosturisticos/restaurantes/lur.jpg;Jue - Dom: 13:00 - 17:00 h / 20:00 - 23:30 h
105688;2024-12-26;es;Manero;info@barmanero.es;(+34) 910 550 622;https://www.esmadrid.com/restaurantes/manero;del Marqués de Cubas, 14;28014;;Spain;40.4165448;-3.6957438;Tapas, Española, Internacional;Gastrobares;https://estaticos.esmadrid.com/cdn/farfuture/ucVJl_m4E-U02j3cWUG-axyo_t5SOp-vfYMavKI1vrA/mtime:1730723526/sites/default/files/recursosturisticos/restaurantes/manero_2.jpg;Dom - Jue: 12:50 - 01:00 hVier - Sáb: 12:50 - 02:00 h
105669;2024-11-14;es;Le Bistroman Atelier;info@lebistroman.es;(+34) 914 47 27 13;https://www.esmadrid.com/restaurantes/bistroman-atelier;de la Amnistía, 10;28013;;Spain;40.4172681;-3.710973;Internacional, De autor, Española;Francesa, Tradicional renovada;https://estaticos.esmadrid.com/cdn/farfuture/gZtJmt0tZ6rlWW866naPjhKy154TYSmn6FGdam5MBUA/mtime:1730197569/sites/default/files/recursosturisticos/restaurantes/le_bistroman_5.jpg;Lun - Dom: 13:30 h – 16:00 h / 20:30 h – 23:00 h
105605;2024-11-12;es;Storyland;storylandmadrid9@gmail.com;;https://www.esmadrid.com/restaurantes/storyland;de la Cava Alta, 12;28005;;Spain;40.4123374;-3.7089482;Internacional, Española;Fusión, Argentina, Mediterránea;https://estaticos.esmadrid.com/cdn/farfuture/eW1SckJB2JhF0ODSX4DgTHje3ASjBjNC11spVVPUyk0/mtime:1729514994/sites/default/files/recursosturisticos/restaurantes/storyland_2.jpg;Vier - Mar: 13:00 - 16:30 h / 20:00 - 23:30 hJueves: 20:00 - 23:30 hMiércoles: cerrado
105592;2025-01-07;es;"Pab&uacute;";coco@restaurantepabu.com;(+34) 91 104 86 05;https://www.esmadrid.com/restaurantes/pabu;de Panamá, 4;28026;;Spain;40.4564837;-3.6892562;De autor;;https://estaticos.esmadrid.com/cdn/farfuture/ZadEHnCrp1OkXjUDvU71yOR2cfTlxILfYrfZ7JyvCNM/mtime:1732697841/sites/default/files/recursosturisticos/restaurantes/coco_montes_pabu.jpg;Mar - Miér: 13:30 - 15:30 hJueves: 13:30 - 15:30 h / 20:30 - 22:30 hViernes: 20:30 - 22:30 h​Sábado: 13:30 - 15:30 hDomingo y lunes: cerradoLos horarios podrán cambiar en función de la semana. Llamar para confirmar los días que estarán abiertos.
105569;2024-11-04;es;"The Library Wine Boutique &amp; Cuisine";thelibrary@grupoparaguas.com;(+34) 913 304 262;https://www.esmadrid.com/restaurantes/library-wine-boutique-cuisine;de Serrano, 2;28001;;Spain;40.4207438;-3.68837;De autor;;https://estaticos.esmadrid.com/cdn/farfuture/9YchSWcRuoEznlpzQ5-N4lRx6L5fzswaW3pLAtnpOxU/mtime:1729070515/sites/default/files/recursosturisticos/restaurantes/the_library.jpg;Bar:Lun – Jue: 12:00 – 2:00 hVier – Dom: 12:00 – 02:30 hBoutique:Lun – Dom: 10:00 – 22:00 h
